,0
2220,disgusted
2221,fearful
2222,neutral
2223,neutral
2224,surprised
2225,sad
2226,angry
2227,disgusted
2228,fearful
2229,happy
2230,neutral
2231,surprised
2232,sad
2233,angry
2234,disgusted
2235,fearful
2236,happy
2237,neutral
2238,surprised
2239,sad
2240,angry
2241,disgusted
2242,fearful
2243,happy
2244,neutral
2245,surprised
2246,sad
2247,angry
2248,disgusted
2249,fearful
2250,happy
2251,neutral
2252,surprised
2253,happy
2254,angry
2255,disgusted
2256,neutral
2257,happy
2258,neutral
2259,surprised
2260,sad
2261,angry
2262,disgusted
2263,fearful
2264,happy
2265,neutral
2266,surprised
2267,sad
2268,angry
2269,disgusted
2270,fearful
2271,happy
2272,neutral
2273,surprised
2274,sad
2275,angry
2276,disgusted
2277,fearful
2278,happy
2279,neutral
2280,surprised
2281,sad
2282,angry
2283,disgusted
2284,fearful
2285,happy
2286,neutral
2287,surprised
2288,sad
2289,angry
2290,disgusted
2291,fearful
2292,happy
2293,neutral
2294,fearful
2295,sad
2296,angry
2297,disgusted
2298,fearful
2299,happy
2300,neutral
2301,angry
2302,sad
2303,angry
2304,disgusted
2305,fearful
2306,disgusted
2307,neutral
2308,surprised
2309,sad
2310,neutral
2311,disgusted
2312,fearful
2313,neutral
2314,neutral
2315,surprised
2316,sad
2317,angry
2318,disgusted
2319,fearful
2320,happy
2321,neutral
2322,surprised
2323,sad
2324,angry
2325,disgusted
2326,fearful
2327,happy
2328,neutral
2329,angry
2330,sad
2331,angry
2332,disgusted
2333,fearful
2334,happy
2335,neutral
2336,surprised
2337,happy
2338,angry
2339,disgusted
2340,fearful
2341,disgusted
2342,neutral
2343,angry
2344,sad
2345,angry
2346,disgusted
2347,fearful
2348,disgusted
2349,neutral
2350,surprised
2351,sad
2352,angry
2353,disgusted
2354,neutral
2355,happy
2356,neutral
2357,surprised
2358,sad
2359,angry
2360,disgusted
2361,fearful
2362,happy
2363,neutral
2364,surprised
2365,sad
2366,angry
2367,disgusted
2368,fearful
2369,disgusted
2370,neutral
2371,angry
2372,sad
2373,angry
2374,disgusted
2375,fearful
2376,happy
2377,neutral
2378,surprised
2379,sad
2380,angry
2381,disgusted
2382,fearful
2383,happy
2384,neutral
2385,surprised
2386,sad
2387,angry
2388,disgusted
2389,fearful
2390,happy
2391,neutral
2392,surprised
2393,sad
2394,angry
2395,disgusted
2396,fearful
2397,happy
2398,neutral
2399,surprised
2400,happy
2401,angry
2402,disgusted
2403,fearful
2404,happy
2405,neutral
2406,surprised
2407,happy
2408,angry
2409,disgusted
2410,fearful
2411,disgusted
2412,neutral
2413,surprised
2414,sad
2415,angry
2416,disgusted
2417,fearful
2418,happy
2419,neutral
2420,surprised
2421,sad
2422,angry
2423,disgusted
2424,fearful
2425,happy
2426,neutral
2427,surprised
2428,happy
2429,angry
2430,disgusted
2431,fearful
2432,happy
2433,neutral
2434,surprised
2435,sad
2436,angry
2437,disgusted
2438,fearful
2439,happy
2440,neutral
2441,surprised
2442,sad
2443,angry
2444,disgusted
2445,fearful
2446,happy
2447,neutral
2448,surprised
2449,sad
2450,angry
2451,disgusted
2452,fearful
2453,happy
2454,neutral
2455,surprised
2456,sad
2457,angry
2458,disgusted
2459,fearful
2460,happy
2461,neutral
2462,surprised
2463,sad
2464,angry
2465,disgusted
2466,fearful
2467,happy
2468,neutral
2469,surprised
2470,sad
2471,angry
2472,disgusted
2473,fearful
2474,happy
2475,neutral
2476,surprised
2477,sad
2478,angry
2479,disgusted
2480,fearful
2481,disgusted
2482,neutral
2483,surprised
2484,sad
2485,angry
2486,disgusted
2487,fearful
2488,happy
2489,neutral
2490,surprised
2491,sad
2492,angry
2493,disgusted
2494,fearful
2495,happy
2496,neutral
2497,surprised
2498,sad
2499,angry
2500,disgusted
2501,fearful
2502,happy
2503,neutral
2504,angry
2505,sad
2506,angry
2507,disgusted
2508,fearful
2509,happy
2510,neutral
2511,surprised
2512,sad
2513,angry
2514,disgusted
2515,fearful
2516,happy
2517,neutral
2518,surprised
2519,sad
2520,angry
2521,disgusted
2522,fearful
2523,happy
2524,neutral
2525,surprised
2526,happy
2527,angry
2528,disgusted
2529,fearful
2530,happy
2531,neutral
2532,surprised
2533,sad
2534,angry
2535,disgusted
2536,fearful
2537,happy
2538,neutral
2539,surprised
2540,happy
2541,angry
2542,disgusted
2543,fearful
2544,happy
2545,neutral
2546,surprised
2547,sad
2548,angry
2549,disgusted
2550,fearful
2551,happy
2552,neutral
2553,surprised
2554,sad
2555,angry
2556,disgusted
2557,fearful
2558,happy
2559,neutral
2560,surprised
2561,sad
2562,angry
2563,disgusted
2564,fearful
2565,happy
2566,neutral
2567,surprised
2568,sad
2569,angry
2570,disgusted
2571,fearful
2572,happy
2573,neutral
2574,angry
2575,sad
2576,angry
2577,disgusted
2578,fearful
2579,happy
2580,neutral
2581,surprised
2582,sad
2583,neutral
2584,disgusted
2585,fearful
2586,neutral
2587,neutral
2588,surprised
2589,sad
2590,angry
2591,disgusted
2592,fearful
2593,disgusted
2594,neutral
2595,surprised
2596,sad
2597,angry
2598,disgusted
2599,fearful
2600,happy
2601,neutral
2602,happy
2603,sad
2604,angry
2605,disgusted
2606,fearful
2607,happy
2608,neutral
2609,surprised
2610,sad
2611,angry
2612,disgusted
2613,fearful
2614,happy
2615,neutral
2616,surprised
2617,sad
2618,angry
2619,disgusted
2620,fearful
2621,happy
2622,neutral
2623,surprised
2624,sad
2625,angry
2626,disgusted
2627,fearful
2628,happy
2629,neutral
2630,surprised
2631,sad
2632,neutral
2633,disgusted
2634,fearful
2635,neutral
2636,neutral
2637,surprised
2638,sad
2639,angry
2640,disgusted
2641,fearful
2642,happy
2643,neutral
2644,surprised
2645,sad
2646,angry
2647,disgusted
2648,fearful
2649,happy
2650,neutral
2651,surprised
2652,happy
2653,neutral
2654,disgusted
2655,fearful
2656,neutral
2657,neutral
2658,surprised
2659,sad
2660,angry
2661,disgusted
2662,neutral
2663,happy
2664,neutral
2665,surprised
2666,sad
2667,angry
2668,disgusted
2669,fearful
2670,happy
2671,neutral
2672,surprised
2673,sad
2674,angry
2675,disgusted
2676,fearful
2677,disgusted
2678,neutral
2679,surprised
2680,sad
2681,angry
2682,disgusted
2683,fearful
2684,happy
2685,neutral
2686,surprised
2687,sad
2688,angry
2689,disgusted
2690,fearful
2691,happy
2692,neutral
2693,angry
2694,sad
2695,angry
2696,disgusted
2697,fearful
2698,happy
2699,neutral
2700,surprised
2701,sad
2702,angry
2703,disgusted
2704,fearful
2705,happy
2706,neutral
2707,surprised
2708,happy
2709,angry
2710,disgusted
2711,fearful
2712,happy
2713,neutral
2714,surprised
2715,sad
2716,angry
2717,disgusted
2718,fearful
2719,happy
2720,neutral
2721,angry
2722,sad
2723,neutral
2724,disgusted
2725,fearful
2726,neutral
2727,neutral
2728,surprised
2729,sad
2730,angry
2731,disgusted
2732,fearful
2733,happy
2734,neutral
2735,surprised
2736,happy
2737,angry
2738,disgusted
2739,fearful
2740,happy
2741,neutral
2742,surprised
2743,sad
2744,angry
2745,disgusted
2746,fearful
2747,happy
2748,neutral
2749,surprised
2750,sad
2751,angry
2752,disgusted
2753,fearful
2754,happy
2755,neutral
2756,surprised
2757,sad
2758,angry
2759,disgusted
2760,fearful
2761,happy
2762,neutral
2763,surprised
2764,sad
2765,angry
2766,disgusted
2767,fearful
2768,happy
2769,neutral
2770,surprised
2771,happy
2772,neutral
2773,disgusted
2774,fearful
2775,neutral
2776,neutral
2777,surprised
2778,sad
2779,angry
2780,disgusted
2781,fearful
2782,happy
2783,neutral
2784,surprised
2785,sad
2786,angry
2787,disgusted
2788,neutral
2789,happy
2790,neutral
2791,surprised
2792,sad
2793,angry
2794,disgusted
2795,fearful
2796,happy
2797,neutral
2798,surprised
2799,happy
